uniqueid,hhid,surveyid,surveyor,surveydate,surveytime,survey_complete,superpresent,scrutinizedyn,backcheckedyn,sex,age,educ,income,addressdur,addressdur_unit,areadur,areadur_unit,occupation,occupationother,castename,castecode,literateyn,treatment,own4wheeleryn,own4wheelernum,own4wheelervalue,own4wheelertheft,own4wheelertheftnum,theftfromcaryn,theftfromcarnum,own2wheeleryn,own2wheelernum,own2wheelervalue,own2wheelertheft,own2wheelertheftnum,own2wheelertheftvictim_1,own2wheelertheftvictim_2,cycleownyn,cycleownnum,cycleownvalue,cycletheftyn,cycletheftnum,cycletheftvictim_1,cycletheftvictim_2,burglaryyn,burglarynum,attemptedburglaryyn,attemptedburglarynum,vandalismyn,vandalismnum,trespassingyn,trespassingnum,robberyyn,robberynum,robberyvictim_1,robberyvictim_2,theftyn,theftnum,theftvictim_1,theftvictim_2,thanavisityn,thanavisitreason,thanavisitreason_other,surveytime2,thanavisitreason_other2,exit,base_age,base_income,base_educ
519,1620015,379,John,09172014,7618,1,0,1,0,1,60,0,2875,99,1,99,4,1,,JAAT,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,126.96667,NA,1,59,955,None or anganwadi
520,1620024,391,David,11282013,8033,1,0,1,0,1,1981,8,2810,35,3,15,4,6,,JAAT,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,133.88333,NA,1,1981,3602,8
521,1620025,374,Peter,10292013,7112,1,0,1,0,2,25,0,1524,25,3,25,3,3,,SU NAR,NA,0,1,1,1,9812,0,NA,0,NA,2,NA,NA,NA,NA,NA,NA,1,1,2915,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,NA,NA,NA,NA,NA,NA
522,1620026,366,Peter,12162014,6041,0,0,1,0,2,28,0,1464,30,2,30,2,3,,"SUNAR,",NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,100.68333,NA,1,27,3012,None or anganwadi
523,1620038,378,John,09142014,7802,1,1,1,1,1,71,0,2124,71,2,71,3,1,,JAAT,NA,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,130.03334,NA,1,70,1235,None or anganwadi
524,1620043,377,Benjamin,12262013,5102,1,0,1,0,1,1972,12,4982,75,2,15,2,2,,RAKAUT SAD,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2646,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,85.033333,NA,1,1972,2004,12
525,1620046,381,Benjamin,11272014,6988,1,0,1,0,1,34,9,3463,73,1,73,3,1,,JAAT,NA,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2975,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,116.46667,NA,1,33,3099,9
526,1620048,375,David,10282013,8175,1,1,1,1,2,22,0,2247,5,1,5,2,1,,"SIDHNATH,",NA,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,136.25,NA,1,21,1503,None or anganwadi
527,1620051,380,John,11232013,6496,1,0,1,0,1,33,8,1202,33,3,33,4,2,,SUNAR,NA,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,108.26667,NA,1,32,3187,8
528,1620056,402,David,09272013,7070,1,0,1,0,1,64,0,1821,64,1,64,3,1,,JAAT,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,117.83334,NA,1,63,1266,None or anganwadi
529,1620057,392,David,10102013,5518,1,0,1,0,1,44,11,1979,44,2,44,3,1,,JAAT,NA,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,1,Other,AANGANWADI CTR,91.966667,NA,1,43,1821,11
530,1620062,382,David,12242014,6407,0,1,1,1,2,50,0,4580,55,1,55,1,1,,KUKDA,NA,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,106.78333,NA,1,49,2896,None or anganwadi
531,1621001,368,Mary,08192014,8502,1,0,1,1,1,40,0,2458,40,1,40,1,1,,JAAT,NA,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3219,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,141.7,NA,1,39,3912,None or anganwadi
532,1621003,370,Mary,12102013,6398,1,0,1,0,1,30,0,2953,60,2,60,4,5,,HARIJAN,NA,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,106.63333,NA,1,29,1859,None or anganwadi
533,1621022,363,Benjamin,09212014,7547,0,0,1,1,1,1977,0,1416,32,1,32,2,1,,MA ALI,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2757,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,125.78333,NA,1,1977,2357,None or anganwadi
534,1621030,369,Joseph,09132013,7078,1,0,1,0,1,53,8,893,53,1,53,4,9,,NAAI,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,117.96667,NA,1,52,2639,8
535,1621031,359,Joseph,09152013,6524,1,0,1,1,2,20,8,3843,62,1,62,1,3,,SUNAR,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2610,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,108.73333,NA,1,19,4266,8
536,1621034,367,Joseph,11132014,6792,0,0,1,0,1,67,8,3440,67,1,67,2,9,,NAAI,NA,1,0,2,NA,NA,NA,NA,NA,NA,1,1,2830,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,113.2,NA,1,66,2077,8
537,1621052,365,Benjamin,10212013,7720,1,0,1,0,1,48,0,2910,50,2,50,2,1,,DHANSULIYA,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3368,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,128.66667,NA,1,47,2913,None or anganwadi
538,1622030,364,Grace,12212014,5947,0,0,1,0,1,24,0,2070,65,3,65,3,4,,SONI,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,2,3266,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,99.116669,NA,1,23,3746,None or anganwadi
539,1622032,362,Grace,09282014,6168,1,0,1,0,2,35,0,3914,20,1,8,4,3,,"SAI,",NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,-997,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,102.8,NA,1,34,2194,None or anganwadi
540,1622035,372,Grace,10252013,7398,1,0,1,0,2,45,0,2750,60,1,60,3,2,,DAIMA,NA,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,123.3,NA,1,44,776,None or anganwadi
541,1622053,387,Mary,12172014,7963,1,0,1,0,1,80,0,916,80,1,40,3,1,,DESHWANI,NA,0,0,2,NA,NA,NA,NA,NA,NA,1,1,2929,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,132.71666,NA,1,79,3595,None or anganwadi
542,1701033,553,John,09292013,6687,1,0,1,0,2,1970,14,4154,85,1,85,2,6,,KAHAR,NA,1,1,2,NA,NA,NA,NA,NA,NA,1,1,3348,2,NA,NA,NA,1,1,3374,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,111.45,NA,1,1970,970,Graduate
543,1701041,547,John,08242013,6481,1,0,1,0,1,53,12,2408,14,1,14,2,10,, ARORA,NA,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2832,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,1,1,1,NA,2,,,108.01667,NA,1,52,4776,12
544,1701059,543,David,08202013,7122,1,0,1,1,1,73,14,839,21,1,21,4,9,,BRAHMAN,1,1,1,2,NA,NA,NA,NA,NA,NA,1,3,3323,2,NA,NA,NA,1,2,2515,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,118.7,NA,1,72,3387,Graduate
545,1702005,557,David,10282013,5241,1,0,1,0,1,50,5,2785,20,2,20,3,2,,AGGARWAL,NA,1,0,2,NA,NA,NA,NA,NA,NA,1,1,3467,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,87.349998,NA,1,49,2732,5
546,1702015,560,Benjamin,08212014,8387,1,0,1,0,1,68,8,2854,68,1,68,1,10,,KHAN,NA,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2531,99,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,139.78334,NA,1,67,2711,8
547,1702030,564,Sam,09162013,8490,1,0,1,1,2,45,6,2906,50,3,6,3,98,Farmer,SINDHI,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2551,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,1,Other,MAKAAN KE NOTICE KI JAANKARI,141.5,NA,1,44,2685,6
548,1702043,566,Mary,12282014,7036,1,0,1,0,2,80,0,5871,10,1,5,2,6,,AGARWAL,NA,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3074,2,NA,NA,NA,1,1,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,117.26667,NA,1,79,2480,None or anganwadi
549,1702046,568,Sam,08192014,5740,1,0,1,0,1,22,11,1500,22,1,22,1,98,Trades/Owns Store,BRAHMAN,NA,1,0,2,NA,NA,NA,NA,NA,NA,1,1,2834,2,NA,NA,NA,1,1,3315,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,NA,NA,NA,NA,NA,NA
550,1702055,556,Sam,09272014,5808,1,0,1,0,2,1979,0,3533,70,2,70,4,3,,ANSARI,NA,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,96.800003,NA,1,1979,4023,None or anganwadi
551,1702059,565,Benjamin,12122014,8680,0,0,1,0,1,45,8,763,45,1,45,1,10,,RAJPUT,NA,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3210,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,1,To register a Crime,,144.66667,NA,1,44,999,8
552,1702075,730,Anna,11292013,8544,1,0,1,0,1,18,9,2243,20,1,20,1,1,,RAJPUT,NA,1,0,1,2,3443,0,NA,1,1,1,4,2896,2,NA,NA,NA,1,2,3280,1,1,5,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,142.39999,NA,1,17,2641,9
553,1702081,736,Anna,10142013,5452,1,0,1,0,1,45,7,4029,45,2,12,4,10,,SINDHI,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2550,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,90.866669,NA,1,44,5026,7
554,1703005,532,Sam,12242013,6117,1,0,1,0,1,51,8,3745,20,1,20,2,6,,PUSHKARNA,5,1,1,2,NA,NA,NA,NA,NA,NA,1,1,3341,2,NA,NA,NA,1,1,2522,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,1,To register a Crime,,101.95,NA,1,50,1119,8
555,1703007,548,Sam,08282013,7598,1,0,1,0,1,47,15,3052,12,1,12,3,6,, BRAHMAN,1,1,0,2,NA,NA,NA,NA,NA,NA,1,1,3086,2,NA,NA,NA,1,1,2840,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,126.63333,NA,1,46,1799,Post-graduate
556,1703008,559,Anna,10112013,7057,1,0,1,1,1,48,8,3593,6,1,6,4,6,, GUJAR,NA,1,1,2,2,NA,NA,NA,NA,NA,1,1,2539,1,1,1,NA,1,1,2885,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,117.61667,NA,1,47,3338,8
557,1703020,538,Anna,08302013,6521,1,0,1,1,1,68,14,3325,20,1,20,3,1,,RAJPUT,NA,1,0,2,NA,NA,NA,NA,NA,NA,1,3,3125,2,NA,NA,NA,1,2,3102,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,108.68333,NA,1,67,2103,Graduate
558,1703021,534,Anna,11162013,6862,1,0,1,1,1,30,0,1058,30,1,30,1,2,,MUSALMAN,NA,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,114.36667,NA,1,29,2115,None or anganwadi
559,1703030,552,Anna,12112014,10078,1,0,1,0,1,1979,12,185,50,1,5,2,5,,KANCHI,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3382,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,167.96666,NA,1,1979,3863,12
560,1703031,549,Anna,10252013,6125,1,0,1,0,1,50,3,2887,50,1,50,4,3,,MEHAR,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2602,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,102.08334,NA,1,49,649,3
561,1703032,541,Joseph,12232014,6183,1,0,1,0,1,55,5,2324,55,1,55,2,2,,GURJAR,NA,0,0,2,NA,NA,NA,NA,NA,NA,1,1,2574,2,NA,NA,NA,1,1,3106,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,103.05,NA,1,54,3821,5
562,1703033,533,Joseph,08112014,8066,1,0,1,0,1,67,8,3110,67,4,67,4,8,,RAJPUT.,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2533,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,134.43333,NA,1,66,3422,8
563,1703039,535,Joseph,10212013,9144,1,0,1,0,2,45,5,3658,50,2,20,2,98,Farmer,RAJPUT.,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,152.39999,NA,1,44,2425,5
564,1703049,257,Joseph,09192013,7774,1,0,1,0,1,1985,5,2570,55,1,12,3,2,,RAGER,NA,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3020,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,129.56667,NA,1,1985,2513,5
565,1704026,571,Joseph,09302014,6401,1,0,1,0,1,80,0,2533,60,3,38,3,3,,ANSARI,NA,0,1,2,NA,NA,NA,NA,NA,NA,1,1,2821,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,106.68333,NA,1,79,2503,None or anganwadi
566,1704030,573,Joseph,11262014,6458,1,0,1,0,1,33,14,1888,55,1,35,1,3,,SUNAR,NA,1,0,2,NA,NA,NA,NA,NA,NA,1,1,3040,2,NA,NA,NA,1,1,2633,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,107.63333,NA,1,32,3287,Graduate
567,1704042,567,Joseph,12262014,7663,1,0,1,0,1,1976,6,1076,67,1,32,3,10,, RAIEN,NA,1,1,2,NA,NA,NA,NA,NA,NA,1,1,2799,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,127.71667,NA,1,1976,3688,6
568,1704043,572,Joseph,11232014,8154,1,0,1,0,1,58,7,1703,58,2,58,4,10,,RAIEN,NA,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,135.89999,NA,1,57,3481,7
569,1704048,762,Anna,12152014,8322,1,0,1,0,1,39,12,1626,61,1,61,4,10,,MAHAJAN,NA,1,1,2,NA,NA,NA,NA,NA,NA,1,2,3372,2,NA,NA,NA,1,1,3230,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,138.7,NA,1,38,3296,12
570,1704069,755,Anna,10262013,6498,1,0,1,0,2,55,0,1780,50,1,50,1,4,,"MUSALMAN,",NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,108.3,NA,1,54,2998,None or anganwadi
571,1705004,536,Anna,11202014,7705,1,0,1,1,1,21,12,1169,15,1,15,3,6,,KAUSHIK,NA,1,0,2,NA,NA,NA,NA,NA,NA,1,2,3206,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,128.41667,NA,1,20,2628,12
572,1705022,561,Anna,12182013,5874,1,0,1,0,1,24,14,3582,13,2,13,3,6,,MAHAJAN,NA,1,1,2,NA,NA,NA,NA,NA,NA,1,1,2706,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,97.900002,NA,1,23,2841,Graduate
573,1705038,563,Caroline,08152014,7254,1,0,1,1,1,50,0,2783,40,3,40,4,10,,MEENA,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,120.9,NA,1,49,4262,None or anganwadi
574,1705080,697,Anna,10272013,8712,1,0,1,0,2,30,0,1137,35,1,30,1,3,,VISHWAKARMA,2,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2793,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,145.2,NA,1,29,2078,None or anganwadi
575,1706009,546,Mary,12102014,4856,1,0,1,0,1,1986,0,3002,20,1,20,3,2,,"PHOOL MALI,",NA,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3435,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,80.933334,NA,1,1986,1141,None or anganwadi
576,1706011,569,Sam,09292013,7263,1,0,1,0,2,35,0,1724,4,3,4,3,2,,FAKIRO,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2851,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,121.05,NA,1,34,1969,None or anganwadi
577,1706016,542,Mary,08232013,6699,1,0,1,0,2,27,0,1135,8,1,3,1,2,,KALAL,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3473,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,111.65,NA,1,26,2580,None or anganwadi
578,1706039,551,David,08272014,8433,1,0,1,0,2,1971,5,3320,35,1,35,1,2,,MALI,NA,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2507,1,1,1,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,140.55,NA,1,1971,3475,5
579,1706052,570,David,10132014,7556,1,0,1,0,1,62,0,2858,62,1,40,1,3,,MEER SAHAB,NA,0,0,2,NA,NA,NA,NA,NA,NA,1,1,3147,2,NA,NA,NA,1,1,2956,1,1,1,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,1,2,1,NA,2,,,125.93333,NA,1,61,3350,None or anganwadi
580,1706070,745,Anna,08202013,8151,1,0,1,0,1,70,5,4710,15,1,15,1,9,,MUSALMAN,NA,1,1,2,NA,NA,NA,NA,NA,NA,1,1,3387,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,135.85001,NA,1,69,927,5
581,1706078,722,Anna,11232014,7149,0,0,1,0,1,1977,0,1042,30,2,7,4,3,,DH OBI,3,0,0,2,NA,NA,NA,NA,NA,NA,1,1,3139,2,NA,NA,NA,1,1,3357,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,1,To answer charges filed against you,,119.15,NA,1,1977,481,None or anganwadi
582,1707006,562,Sam,10292013,6416,1,0,1,1,1,1986,9,3790,6,2,6,3,9,, RAJPUT,NA,1,1,2,NA,NA,NA,NA,NA,NA,1,1,2820,2,NA,NA,NA,1,3,3128,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,1,1,2,NA,2,,,106.93333,NA,1,1986,2876,9
583,1707018,550,Peter,10102013,7048,1,0,1,0,2,45,8,1222,53,2,22,3,6,,MAHAWAR KOLI,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2888,2,NA,NA,NA,2,NA,2,NA,2,NA,-997,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,117.46667,NA,1,44,1919,8
584,1707020,539,Peter,08152014,7670,1,0,1,1,2,26,0,1892,30,1,5,2,3,,MALI,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2569,1,1,1,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,127.83334,NA,1,25,1724,None or anganwadi
585,1707021,537,Peter,09122013,7736,1,0,1,1,1,42,8,2467,42,1,42,3,3,,KHATI JAGID,NA,1,1,2,NA,NA,NA,NA,NA,NA,1,1,3050,2,NA,NA,NA,1,1,3157,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,NA,NA,NA,NA,NA,NA
586,1707025,540,Peter,10242014,7278,1,0,1,1,2,38,8,2576,42,1,42,3,5,,JAIN,NA,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,2,2804,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,121.3,NA,1,37,2316,8
587,1707034,554,Peter,09192013,7065,1,0,1,0,2,40,12,2929,45,2,17,3,6,,SHARMA,NA,1,0,2,NA,NA,NA,NA,NA,NA,1,1,2760,2,NA,NA,NA,1,2,2668,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,117.75,NA,1,39,1532,12
588,1707043,545,Joseph,10112013,6933,1,0,1,1,2,35,0,3402,80,2,80,2,6,,"SEN,",NA,0,0,2,NA,NA,NA,NA,NA,NA,1,1,2763,2,NA,NA,NA,1,1,2919,2,NA,NA,NA,2,NA,2,NA,2,NA,-997,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,NA,NA,NA,NA,NA,NA
589,1707048,558,Joseph,09152014,7027,1,0,1,0,1,62,7,2395,38,1,30,4,9,,PUSHKARNA,NA,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3162,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,117.11667,NA,1,61,1915,7
590,1707056,544,Mary,08252014,8075,1,0,1,0,1,72,0,2128,72,1,72,2,9,,MALI,NA,1,1,2,NA,NA,NA,NA,NA,NA,1,1,3161,2,NA,NA,NA,1,2,2676,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,134.58333,NA,1,71,2451,None or anganwadi
591,1801002,623,Sam,09272014,6865,1,0,1,0,2,45,0,2974,40,3,38,3,2,,MEENA.,2,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,114.41666,NA,1,44,2643,None or anganwadi
